Intersection,Corner Pad,Pad Date Completed,Corner Landing,Landing Date Completed
"PICO BLVD and NORTON AVE
Los Angeles, CA
(34.047573363, -118.323839121)",SW CORNER,04/19/2014,,
"SHERMAN WAY and VANALDEN AVE
Los Angeles, CA
(34.201031345, -118.549126049)",,,SW CORNER,04/23/2014
"WESTERN AVE and 60TH ST
Los Angeles, CA
(33.985243375, -118.308959635)",,,NW CORNER,10/02/2013
"DE SOTO AVE and STRATHERN ST
Los Angeles, CA
(34.215560986, -118.588485832)",,,SW CORNER,04/24/2014
"VENTURA BLVD and WHITE OAK AVE
Los Angeles, CA
(34.162424393, -118.51854782)",SW CORNER,09/07/2013,,
"DE SOTO AVE and VALERIO ST
Los Angeles, CA
(34.204671505, -118.58845926)",,,SW CORNER,04/09/2014
"ALVARADO ST and 12TH ST
Los Angeles, CA
(34.048782321, -118.281716005)",NW CORNER,05/01/2014,NW CORNER,04/28/2014
"FALLBROOK AVE and STRATHERN ST
Los Angeles, CA
(34.215490131, -118.623439337)",,,NW CORNER,12/03/2013
"FIGUEROA ST and AVENUE 60
Los Angeles, CA
(34.111072454, -118.189777612)",NE CORNER,08/24/2013,,
"VENTURA BLVD and CEDROS AVE
Los Angeles, CA
(34.151641195, -118.453047084)",NW CORNER,08/03/2013,,
"SAN FERNANDO ROAD and ASTORIA ST
Los Angeles, CA
(34.296313195, -118.455496)",SE CORNER,03/29/2014,,
"OLYMPIC BLVD CD 10 and WINDSOR BLVD CD 10
Los Angeles, CA
(34.053490765, -118.245316691)",,,SW CORNER,07/24/2013
"WESTERN AVE and N/O LEMON GROVE AVE
Los Angeles, CA
(34.053490765, -118.245316691)",,,NE CORNER,07/12/2013
"DEVONSHIRE ST and SEPULVEDA BLVD
Los Angeles, CA
(34.257312114, -118.467466014)",SE CORNER,08/07/2013,,
"WINNETKA AVE and SATICOY ST
Los Angeles, CA
(34.208373662, -118.570998007)",SE CORNER,08/15/2013,,
"ROSCOE BLVD and SALE AVE
Los Angeles, CA
(34.219453565, -118.619068488)",,,SW CORNER,11/22/2013
"SATICOY ST and DE SOTO AVE
Los Angeles, CA
(34.208333807, -118.588476974)",,,NE CORNER,04/30/2014
"NORMANDIE AVE and GAGE AVE
Los Angeles, CA
(33.982351617, -118.300257793)",,,SE CORNER,07/26/2013
"FIGUEROA ST and YORK BLVD
Los Angeles, CA
(34.115500872, -118.184339514)",,,SE CORNER,09/27/2013
"VICTORY BLVD and BIRMINGHAM HIGH SCHOOL WAY
Los Angeles, CA
(34.186630128, -118.505488415)",,,SE CORNER,04/15/2014
"SAN FERNANDO ROAD and EDWARD AVE
Los Angeles, CA
(34.110532187, -118.242976201)",,,NE CORNER,09/17/2013
"SUNSET BLVD and DESCANSO DR
Los Angeles, CA
(34.085423055, -118.274838672)",,,NW CORNER,02/04/2014
"DE SOTO AVE and LASSEN ST
Los Angeles, CA
(34.249983082, -118.588569971)",NE CORNER,03/30/2014,,
"SHERMAN WAY and SHIRLEY AVE
Los Angeles, CA
(34.201040202, -118.557867746)",,,SE CORNER,04/11/2014
"VERDUGO ROAD and SHASTA CIR NORTH
Los Angeles, CA
(34.130871913, -118.232888264)",,,NW CORNER,03/07/2014
"FALLBROOK AVE and HATTERAS ST
Los Angeles, CA
(34.175842501, -118.623328627)",,,SE CORNER,10/02/2013
"OLYMPIC BLVD and CENTRAL AVE
Los Angeles, CA
(34.0320429, -118.244158589)",,,NE CORNER,02/03/2014
"ROSCOE BLVD and SHOUP AVE
Los Angeles, CA
(34.219511135, -118.614706497)",,,SW CORNER,04/02/2014
"SATICOY ST and SALE AVE
Los Angeles, CA
(34.208280666, -118.61903749)",,,SW CORNER,04/04/2014
"SHERMAN WAY and OSO AVE
Los Angeles, CA
(34.201022488, -118.575346714)",,,NW CORNER,04/21/2014
"BEVERLY GLEN BLVD and WILKINS AVE
Los Angeles, CA
(34.061181893, -118.425258758)",SW CORNER,08/25/2013,,
"FALLBROOK AVE and SHERMAN WAY
Los Angeles, CA
(34.200951634, -118.623417195)",,,NE CORNER,11/01/2013
"VENTURA BLVD and NOBLE AVE
Los Angeles, CA
(34.153080431, -118.461797638)",SE CORNER,08/04/2013,,
"OLYMPIC BLVD and LUCERNE BLVD
Los Angeles, CA
(34.05528324, -118.327908837)",,,NE CORNER,07/19/2013
"DE SOTO AVE and PARTHENIA ST
Los Angeles, CA
(34.228212977, -118.588525687)",,,NW CORNER,04/25/2014
"LAUREL CANYON BLVD and STAGG ST CD 02
Los Angeles, CA
(34.053490765, -118.245316691)",NW CORNER,08/28/2013,,
"8TH ST and SPENCE ST
Los Angeles, CA
(34.020520155, -118.202416318)",SW CORNER,04/16/2014,SW CORNER,04/10/2014
"OXNARD ST and VAN NUYS BLVD
Los Angeles, CA
(34.17940295, -118.448738233)",,,,
"SATICOY ST and ROYER AVE
Los Angeles, CA
(34.208254096, -118.627765902)",,,NW CORNER,04/07/2014
"OLYMPIC BLVD CD 4 and WINDSOR BLVD CD 4
Los Angeles, CA
(34.053490765, -118.245316691)",,,NE CORNER,07/24/2013
"MONTE VISTA ST and AVENUE 59
Los Angeles, CA
(34.112781824, -118.192377093)",NE CORNER,10/11/2013,,
"FLETCHER DR and LACLEDE AVE
Los Angeles, CA
(34.112423122, -118.24916713)",,,NW CORNER,08/14/2013
"NORMANDIE AVE and 46TH ST
Los Angeles, CA
(34.001650665, -118.300186938)",,,SE CORNER,07/30/2013
"CRENSHAW BLVD and 71ST ST
Los Angeles, CA
(33.975660277, -118.330889163)",,,,
"VANOWEN ST and LURLINE AVE
Los Angeles, CA
(34.193773167, -118.583835992)",SW CORNER,04/05/2014,,
"8TH ST and CONCORD ST
Los Angeles, CA
(34.022570513, -118.207017444)",,,NW CORNER,04/18/2014
"DEVONSHIRE ST and WOODMAN AVE
Los Angeles, CA
(34.257201404, -118.454247185)",SE CORNER,03/22/2014,,
"VAN NUYS BLVD and KESWICK ST
Los Angeles, CA
(34.210273454, -118.448769232)",SE CORNER,07/23/2013,SE CORNER,07/23/2013
"VENTURA BLVD and SEPULVEDA BLVD
Los Angeles, CA
(34.153833262, -118.466199486)",NE CORNER,08/03/2013,,
"SUNSET BLVD and DOUGLAS ST
Los Angeles, CA
(34.074192586, -118.251979176)",SW CORNER,09/14/2013,,
"IROLO ST and JAMES M WOOD BLVD
Los Angeles, CA
(34.055894361, -118.300886628)",,,NW CORNER,07/18/2013
"WOODLEY AVE and NORDHOFF ST
Los Angeles, CA
(34.235643863, -118.485068977)",SE CORNER,05/03/2014,,
"FIGUEROA ST and COLDEN AVE
Los Angeles, CA
(33.949160622, -118.282699114)",,,,
"GAGE AVE and VERMONT AVE
Los Angeles, CA
(33.981913204, -118.291538237)",,,SW CORNER,01/09/2014
"WESTERN AVE and MELROSE AVE
Los Angeles, CA
(34.083514406, -118.309127915)",SW CORNER,02/08/2014,,
"FALLBROOK AVE and INGOMAR ST
Los Angeles, CA
(34.211863257, -118.623439337)",,,SW CORNER,12/05/2013
"MARENGO ST and STATE ST
Los Angeles, CA
(34.057842866, -118.210197049)",NE CORNER,04/19/2014,,
"WESTERN AVE and 3RD ST
Los Angeles, CA
(34.06897148, -118.309119058)",SW CORNER,08/24/2013,,
"LAUREL CANYON BLVD and STAGG ST
Los Angeles, CA
(34.212093534, -118.396509467)",SE CORNER,08/27/2013,,
"SHERMAN WAY and OAKDALE AVE
Los Angeles, CA
(34.201022488, -118.566636015)",,,SW CORNER,04/18/2014
"SEPULVEDA BLVD and PARTHENIA ST
Los Angeles, CA
(34.228270547, -118.467656436)",SE CORNER,08/01/2013,SE CORNER,08/01/2013
"DE SOTO AVE and STRATHERN ST
Los Angeles, CA
(34.215560986, -118.588485832)",,,NE CORNER,04/24/2014
"VENTURA BLVD and WILLIS AVE
Los Angeles, CA
(34.152004326, -118.455287863)",NW CORNER,07/28/2013,,
"SEPULVEDA BLVD and VALERIO ST
Los Angeles, CA
(34.204844214, -118.466208343)",NW CORNER,07/25/2013,NW CORNER,07/30/2013
"SHERMAN WAY and ENFIELD AVE
Los Angeles, CA
(34.201204054, -118.524078915)",,,NW CORNER,04/17/2014
"SATICOY ST and LURLINE AVE
Los Angeles, CA
(34.208342664, -118.584097269)",,,SE CORNER,05/02/2014
"SHERMAN WAY and SHIRLEY AVE
Los Angeles, CA
(34.201040202, -118.557867746)",,,NW CORNER,04/11/2014
"WESTWOOD BLVD and WEYBURN AVE
Los Angeles, CA
(34.062572416, -118.445439061)",NW CORNER,08/17/2013,,
"SATICOY ST and DE SOTO AVE
Los Angeles, CA
(34.208333807, -118.588476974)",,,NW CORNER,04/30/2014
"OLIVE ST and 1ST ST
Los Angeles, CA
(34.055004249, -118.247688038)",SE CORNER,10/05/2013,,
"SATICOY ST and ROYER AVE
Los Angeles, CA
(34.208254096, -118.627765902)",,,SW CORNER,04/07/2014
"FALLBROOK AVE and ERWIN ST
Los Angeles, CA
(34.182790689, -118.623368483)",,,NW CORNER,10/03/2013
"VERDUGO ROAD and PALMER DR
Los Angeles, CA
(34.133874381, -118.233486101)",,,SE CORNER,02/27/2014
"VENTURA BLVD and CEDROS AVE
Los Angeles, CA
(34.151641195, -118.453047084)",SE CORNER,07/27/2013,,
"VINELAND AVE and CHANDLER BLVD
Los Angeles, CA
(34.168101626, -118.370426082)",NE CORNER,08/23/2013,,
"VENICE BLVD and NEW HAMPSHIRE AVE
Los Angeles, CA
(34.044252049, -118.29239735)",SE CORNER,07/21/2013,,
"FALLBROOK AVE and ERWIN ST
Los Angeles, CA
(34.182790689, -118.623368483)",,,NE CORNER,10/03/2013
"VINELAND AVE and VANOWEN ST
Los Angeles, CA
(34.193950304, -118.370297658)",SW CORNER,05/03/2014,,
"VAN NUYS BLVD and VALERIO ST
Los Angeles, CA
(34.204830928, -118.448747089)",SE CORNER,07/31/2013,,
"WILMINGTON BLVD and D ST
Los Angeles, CA
(33.773520692, -118.273678426)",NW CORNER,07/13/2013,,
"BEVERLY BLVD and BENTON WAY
Los Angeles, CA
(34.06987045, -118.277659574)",SW CORNER,08/27/2013,SW CORNER,08/22/2013
"BROADWAY and SLAUSON AVE
Los Angeles, CA
(33.989180238, -118.278297266)",SE CORNER,04/10/2014,,
"FALLBROOK AVE and STRATHERN ST
Los Angeles, CA
(34.215490131, -118.623439337)",,,NE CORNER,12/03/2013
"VENICE BLVD and CRENSHAW BLVD
Los Angeles, CA
(34.044703748, -118.328409249)",,,SW CORNER,02/21/2014
"CESAR E CHAVEZ AVE and NORTH SPRING ST
Los Angeles, CA
(34.058281279, -118.239566319)",,,SE CORNER,10/31/2013
"DE SOTO AVE and INGOMAR ST
Los Angeles, CA
(34.211911969, -118.588476974)",,,SW CORNER,04/10/2014
"NORMANDIE AVE and 76TH ST
Los Angeles, CA
(33.970983868, -118.300306505)",,,SE CORNER,07/26/2013
"PICO BLVD and CRENSHAW BLVD
Los Angeles, CA
(34.047830211, -118.326699879)",SE CORNER,05/03/2014,,
"SATICOY ST and WHITE OAK AVE
Los Angeles, CA
(34.208413518, -118.518596533)",SW CORNER,08/21/2013,,
"8TH ST and SPENCE ST
Los Angeles, CA
(34.020520155, -118.202416318)",NE CORNER,04/24/2014,SW CORNER,04/10/2014
"VANOWEN ST and LANKERSHIM BLVD
Los Angeles, CA
(34.193941447, -118.387798767)",NW CORNER,08/10/2013,,
"FALLBROOK AVE and ROSCOE BLVD
Los Angeles, CA
(34.219391568, -118.623496907)",,,SW CORNER,12/03/2013
"8TH ST and SPENCE ST
Los Angeles, CA
(34.020520155, -118.202416318)",SW CORNER,04/16/2014,NE CORNER,04/11/2014
"SHERMAN WAY and JAMIESON AVE
Los Angeles, CA
(34.201080058, -118.521846992)",,,NE CORNER,04/16/2014
"CENTRAL AVE and 112TH ST
Los Angeles, CA
(33.93312089, -118.254237669)",NE CORNER,04/26/2014,,
"ANAHEIM ST and MCFARLAND AVE
Los Angeles, CA
(33.780513164, -118.252537157)",NE CORNER,04/13/2014,,
"SHERMAN WAY and LURLINE AVE
Los Angeles, CA
(34.201111057, -118.584137125)",,,SE CORNER,04/22/2014
"VERDUGO ROAD and WAWONA ST
Los Angeles, CA
(34.127134328, -118.232148718)",,,SE CORNER,02/27/2014
"8TH ST and CONCORD ST
Los Angeles, CA
(34.022570513, -118.207017444)",,,SW CORNER,04/21/2014
"SATICOY ST and ETIWANDA AVE
Los Angeles, CA
(34.208400234, -118.531717936)",SW CORNER,09/11/2013,,
"SEPULVEDA BLVD and VICTORY BLVD
Los Angeles, CA
(34.186661128, -118.466168487)",,,,
"VENTURA BLVD and KESTER AVE
Los Angeles, CA
(34.15235417, -118.457426789)",SE CORNER,07/27/2013,,
"FALLBROOK AVE and RUNNYMEDE ST
Los Angeles, CA
(34.204990351, -118.623439337)",,,SW CORNER,12/06/2013
"RESEDA BLVD and RAYEN ST
Los Angeles, CA
(34.231892992, -118.536088785)",NW CORNER,04/12/2014,,
"8TH ST and SPENCE ST
Los Angeles, CA
(34.020520155, -118.202416318)",NE CORNER,04/24/2014,NE CORNER,04/11/2014
"CESAR E CHAVEZ AVE and STATE ST
Los Angeles, CA
(34.050093133, -118.215125878)",,,NW CORNER,09/27/2013
"SATICOY ST and LURLINE AVE
Los Angeles, CA
(34.208342664, -118.584097269)",,,NW CORNER,05/02/2014
"SATICOY ST and VARIEL AVE
Los Angeles, CA
(34.208333807, -118.592869966)",,,SW CORNER,04/29/2014
"FALLBROOK AVE and RUNNYMEDE ST
Los Angeles, CA
(34.204990351, -118.623439337)",,,NE CORNER,12/06/2013
"ROSCOE BLVD and SHOUP AVE
Los Angeles, CA
(34.219511135, -118.614706497)",,,NE CORNER,04/02/2014
"VENTURA BLVD and WILLIS AVE
Los Angeles, CA
(34.152004326, -118.455287863)",SE CORNER,08/04/2013,,
"MELROSE AVE and LA BREA AVE
Los Angeles, CA
(34.083452409, -118.344068136)",SW CORNER,07/20/2013,,
"VENTURA BLVD and NOBLE AVE
Los Angeles, CA
(34.153080431, -118.461797638)",NW CORNER,07/28/2013,,
"OLIVE ST and 5TH ST
Los Angeles, CA
(34.049473155, -118.252838289)",NE CORNER,09/28/2013,,
"WESTERN AVE and MELROSE AVE CD 4
Los Angeles, CA
(34.053490765, -118.245316691)",,,SW CORNER,02/19/2014
"VAN NUYS BLVD and BRADLEY AVE
Los Angeles, CA
(34.268892428, -118.418279571)",NE CORNER,04/06/2014,,
"SUNSET BLVD and INNES AVE
Los Angeles, CA
(34.071322971, -118.250579796)",SW CORNER,07/31/2013,SW CORNER,07/24/2013
"SATICOY ST and VARIEL AVE
Los Angeles, CA
(34.208333807, -118.592869966)",,,NE CORNER,04/29/2014
"ROSCOE BLVD and VARIEL AVE
Los Angeles, CA
(34.219931835, -118.59288768)",,,SW CORNER,04/28/2014
"SATICOY ST and OWENSMOUTH AVE
Los Angeles, CA
(34.208320521, -118.601576236)",,,NW CORNER,10/15/2013
"DE SOTO AVE and PARTHENIA ST
Los Angeles, CA
(34.228212977, -118.588525687)",,,NE CORNER,04/25/2014
"VERMONT AVE and 3RD ST
Los Angeles, CA
(34.069051192, -118.291648948)",NE CORNER,10/19/2013,,
"FAIRFAX AVE and PICO BLVD
Los Angeles, CA
(34.05150137, -118.366648641)",,,SW CORNER,01/29/2014
"ROSCOE BLVD and FARRALONE AVE
Los Angeles, CA
(34.219581989, -118.610379932)",,,SW CORNER,04/03/2014
"HILL ST and 5TH ST
Los Angeles, CA
(34.048760179, -118.251797611)",,,NW CORNER,11/16/2013
"VAN NUYS BLVD and PLUMMER ST
Los Angeles, CA
(34.24268062, -118.450226181)",NE CORNER,09/13/2013,,
"YORK BLVD and AVENUE 66
Los Angeles, CA
(34.113840216, -118.179826955)",,,SW CORNER,11/08/2013
"OLYMPIC BLVD and GRAND AVE
Los Angeles, CA
(34.043034234, -118.260605735)",,,SW CORNER,02/25/2014
"VERMONT AVE and OLYMPIC BLVD
Los Angeles, CA
(34.052550906, -118.291617949)",SW CORNER,09/28/2013,,
"YORK BLVD and AVENUE 57
Los Angeles, CA
(34.118870899, -118.193705618)",,,SW CORNER,03/12/2014
"OLYMPIC BLVD and CAMULOS ST
Los Angeles, CA
(34.022473088, -118.215648431)",,,NE CORNER,03/29/2014
"PICO BLVD and HAUSER BLVD
Los Angeles, CA
(34.04870261, -118.356866265)",,,,
"VINELAND AVE and VICTORY BLVD
Los Angeles, CA
(34.186692127, -118.370306515)",NE CORNER,04/26/2014,,
"HUNTINGTON DR and KENDALL AVE
Los Angeles, CA
(34.098571029, -118.155408656)",,,SW CORNER,01/27/2014
"FALLBROOK AVE and SHERMAN WAY
Los Angeles, CA
(34.200951634, -118.623417195)",,,SW CORNER,11/01/2013
"LA BREA AVE and 2ND ST
Los Angeles, CA
(34.071021838, -118.344037137)",SE CORNER,09/21/2013,,
"MONTANA ST and ALVARADO ST
Los Angeles, CA
(34.080560652, -118.261677412)",SE CORNER,09/21/2013,,
